COD_IBGE,MUNICIPIO,UF,REGIAO_TURISTICA,CLUSTER,QUANTIDADE_EMPREGOS,QUANTIDADE_ESTABELECIMENTOS,EMPREGOS_POR_ESTABELECIMENTO,VISITAS_INTERNACIONAIS_EST,VISITAS_NACIONAIS_EST,TOTAL_VISITAS_ESTIMADAS,ARRECADACAO,PIB_PER_CAPITA_R$,POPULACAO_2019
5106224,Nova Mutum,MT,Região Turística Portal do Agronegócio,C,89.0,14,6.36,0.0,15309.0,15309.0,708887.0,69624.89,45378
2102408,Cajapió,MA,Polo Lagos e Campos Floridos,D,0.0,0,,0.0,1376.0,1376.0,0.0,5336.66,11177
3108909,Brazópolis,MG,Caminhos da Mantiqueira,D,6.0,3,2.0,0.0,25587.0,25587.0,0.0,12262.49,14459
3110004,Caeté,MG,Ouro,B,310.0,11,28.18,0.0,23757.0,23757.0,4944942.0,17875.95,44718
3115458,Catuji,MG,Pedras Preciosas,D,0.0,0,,149.0,0.0,149.0,0.0,10131.25,6311
3123106,Dores de Guanhães,MG,Trilhas do Rio Doce,D,5.0,1,5.0,0.0,0.0,0.0,0.0,30713.66,5169
3136553,José Raydan,MG,Trilhas do Rio Doce,D,0.0,0,,0.0,4335.0,4335.0,0.0,11989.64,4995
3539301,Pirassununga,SP,Região Turística Histórias e Vales,C,62.0,7,8.86,292.0,41691.0,41983.0,746300.0,37571.24,76409
3549102,São João da Boa Vista,SP,"Entre Rios, Serras  e Cafés.",C,62.0,10,6.2,691.0,48602.0,49293.0,673370.0,35866.22,91211
3556206,Valinhos,SP,Circuito das Frutas,C,75.0,6,12.5,2998.0,8223.0,11221.0,2572583.0,50785.35,129193
3543303,Ribeirão Pires,SP,ABC Tur - Rota da Natureza e da Indústria,C,34.0,1,34.0,398.0,52008.0,52406.0,0.0,25497.11,123393
1713809,Palmeiras do Tocantins,TO,Vale dos Grandes Rios,D,0.0,0,,0.0,14505.0,14505.0,0.0,11086.33,6658
2611606,Recife,PE,HISTÓRIA E MAR,A,2695.0,117,23.03,124979.0,3715522.0,3840501.0,36669581.0,33232.26,1645727
2704500,Maragogi,AL,Costa dos Corais,A,1276.0,36,35.44,19347.0,297357.0,316704.0,24773850.0,21234.52,32704
2800308,Aracaju,SE,Polo Costa dos Coqueirais,A,1888.0,100,18.88,16161.0,1112959.0,1129120.0,14947276.0,26688.23,657013
2905404,Cairu,BA,Costa do Dendê,A,981.0,123,7.98,93253.0,125021.0,218274.0,9104867.0,58268.71,18176
2921005,Mata de São João,BA,Costa dos Coqueiros,A,6171.0,58,106.4,80017.0,228922.0,308939.0,103063849.0,25252.05,46583
2925303,Porto Seguro,BA,Costa do Descobrimento,A,5046.0,318,15.87,64066.0,1192038.0,1256104.0,66832312.0,22727.56,148686
2927408,Salvador,BA,Baía de Todos os Santos,A,4834.0,267,18.1,326169.0,4262041.0,4588210.0,40060869.0,22213.24,2872347
3151800,Poços de Caldas,MG,Caminhos Gerais,A,1318.0,53,24.87,6355.0,434995.0,441350.0,15717525.0,45798.92,167397
3170206,Uberlândia,MG,Alta Mogiana,A,907.0,54,16.8,18732.0,584716.0,603448.0,15911440.0,54430.68,691305
3300100,Angra dos Reis,RJ,COSTA VERDE,A,612.0,89,6.88,157173.0,841279.0,998452.0,13815002.0,48212.88,203785
3300233,Armação dos Búzios,RJ,COSTA DO SOL,A,2374.0,209,11.36,320320.0,671819.0,992139.0,32816709.0,77577.13,33870
3302403,Macaé,RJ,COSTA DO SOL,A,1275.0,59,21.61,15241.0,486356.0,501597.0,8103191.0,58803.47,256672
3303906,Petrópolis,RJ,SERRA VERDE IMPERIAL,A,988.0,82,12.05,15066.0,202749.0,217815.0,10868253.0,44559.04,306191
3304557,Rio de Janeiro,RJ,METROPOLITANA,A,17946.0,431,41.64,1651696.0,7119416.0,8771112.0,402199318.0,52833.25,6718903
3502507,Aparecida,SP,Fé,A,1451.0,175,8.29,4053.0,1208586.0,1212639.0,11472737.0,31641.35,36157
3509700,Campos do Jordão,SP,MANTIQUEIRA PAULISTA,A,1422.0,137,10.38,8548.0,550468.0,559016.0,21687100.0,25312.3,52088
3518701,Guarujá,SP,Costa da Mata Atlântica,A,1376.0,73,18.85,29526.0,1225406.0,1254932.0,12769869.0,28417.36,320459
3520400,Ilhabela,SP,Litoral Norte de São Paulo,A,1345.0,114,11.8,22954.0,175100.0,198054.0,13779198.0,428020.22,34970
3543402,Ribeirão Preto,SP,Caminhos da Mogiana,A,976.0,72,13.56,21292.0,923926.0,945218.0,15094265.0,50270.98,703293
